"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000000001",14.9977081712182,1.01482382938327,0.857019971977991,1.18413089842127,0.236361250663669,NA
"ENSDARG00000000002",186.891212279981,0.00337019919519116,0.432415207277704,0.00779389609447007,0.993781433595397,0.997655740575605
"ENSDARG00000000018",107.342064376715,-0.189509832070548,0.476477050318233,-0.39773129040313,0.69082826977836,0.868888198757502
"ENSDARG00000000019",105.690124882261,0.454474700241648,0.505902494707099,0.898344453716866,0.369001939875485,0.645673122121916
"ENSDARG00000000068",39.9766046475874,0.0801693548899235,0.618768242156822,0.129562814359185,0.896912325040595,0.965102624844562
"ENSDARG00000000069",140.97853854226,-0.622869223110775,0.472540330743361,-1.31812923170162,0.187460390507508,0.454060898705685
"ENSDARG00000000086",197.841369599497,1.06153976518111,0.559330952321176,1.89787416694143,0.0577126601216473,0.233940344971707
"ENSDARG00000000103",227.40382774314,0.668441721457515,0.430212450562616,1.55374796936572,0.120244545921043,0.34922447957186
"ENSDARG00000000142",36.5796725236353,-0.4323418446567,0.679520323674234,-0.636245642100865,0.524616328513195,0.7666585413078
"ENSDARG00000000151",74.5761929364651,-0.943249252607381,0.575388360552321,-1.6393262660057,0.101145328605333,0.317279157243813
"ENSDARG00000000161",6.25006300590876,1.90421259897234,1.18877072990631,1.60183334857379,0.109192466453005,NA
"ENSDARG00000000183",128.711664802958,-1.34639650698961,0.532681299929407,-2.52758357984039,0.011485048367927,0.0925403255409516
"ENSDARG00000000189",334.159482190441,1.5476742321551,0.4231235459051,3.65773601382661,0.000254452920364928,0.00797465009340882
"ENSDARG00000000212",18691.1193403813,-2.40767352742967,0.41368113358535,-5.82011924634441,5.88056576850348e-09,9.12923646224302e-07
"ENSDARG00000000229",58.6576185588332,0.83696257070068,0.580435253207995,1.44195681787915,0.149314555914876,0.398693116877066
"ENSDARG00000000241",30.9114839289921,0.788954404325417,0.715962277349177,1.10194968266553,0.270483547477454,0.550742278017165
"ENSDARG00000000349",3.96133770699441,0.099358873456494,1.78064968299338,0.0557992256452521,0.955501751830188,NA
"ENSDARG00000000370",144.672197969785,-0.63349170590356,0.524373780914565,-1.20809187827561,0.227011923396691,0.504415071166543
"ENSDARG00000000394",515.38514321707,-0.689181200676021,0.391789650568579,-1.75905922904257,0.0785674489566315,0.27757167646515
"ENSDARG00000000423",84.3848933992842,-0.889345640941724,0.52238571396446,-1.7024693003037,0.0886674286745354,0.297736126819346
"ENSDARG00000000442",88.8913125831628,0.976360477558885,0.539849149158799,1.80858019148546,0.0705162481674453,0.261523231259134
"ENSDARG00000000460",11.1463982796466,-1.09957527453707,1.78960882511141,-0.614422134663208,0.53893641267384,NA
"ENSDARG00000000476",17.8318614524261,0.124535307834935,0.808863429292472,0.153963330922092,0.877638648469014,0.956909236072667
"ENSDARG00000000489",40.4535657911445,-0.389136308204954,0.616614671194068,-0.631085062331384,0.527984907620502,0.767987514646615
"ENSDARG00000000503",1.62671968410331,-1.5067356686468,2.59176005110438,-0.581356159110778,0.561000438353073,NA
"ENSDARG00000000529",20.7841264964128,0.684605917194173,0.760442799259562,0.900272733019195,0.367975128039793,0.645070568911032
"ENSDARG00000000540",62.2959869576123,0.0526820497992616,0.566108949557493,0.0930599133619796,0.92585596369156,0.975927914988633
"ENSDARG00000000542",58.215306846462,0.232553640105243,0.626957558135445,0.370924055524351,0.710694097519376,0.879213945142809
"ENSDARG00000000551",56.2815117228615,1.1650074037683,0.581921825632707,2.00199984336663,0.0452847483722781,0.204097826171277
"ENSDARG00000000563",4.47519761129607,1.49863470486103,1.41037005998197,1.06258261387099,0.287971274939014,NA
"ENSDARG00000000567",66.1708251108276,0.355777309279073,0.615897027831663,0.577657129685506,0.5634956280596,0.789435436665944
