"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000000001",14.9977081712182,0.125327823174558,0.829836870929287,0.151027060335618,0.879954369668411,0.946789410851438,"slc35a5"
"ENSDARG00000000002",186.891212279981,1.980066061459,0.433151951753499,4.57129663953547,4.84715543857689e-06,0.000141459770162647,"ccdc80"
"ENSDARG00000000018",107.342064376715,0.493126467555233,0.459726236861536,1.07265243533133,0.283427088886062,0.528831502865387,"nrf1"
"ENSDARG00000000019",105.690124882261,1.30600805019999,0.504438898064171,2.58903120915518,0.00962463711069335,0.0565901650096831,"ube2h"
"ENSDARG00000000068",39.9766046475874,-0.363378632822763,0.574923492159116,-0.632046938033617,0.527356206452904,0.741187965909928,"nherf1a"
"ENSDARG00000000069",140.97853854226,0.384020927676107,0.454213359628661,0.845463744153321,0.39785196718271,0.638524077776597,"dap"
"ENSDARG00000000086",197.841369599497,0.46908033080057,0.561778117286858,0.834992172827989,0.403722115410935,0.643675780541086,"itsn1"
"ENSDARG00000000103",227.40382774314,-0.151668056111908,0.424602513390219,-0.357200090270124,0.720942018322256,0.864953479576975,"myh10"
"ENSDARG00000000142",36.5796725236353,0.0100183937158289,0.622030861493073,0.0161059431870978,0.98714987215312,0.995807592441995,"tmem267"
"ENSDARG00000000151",74.5761929364651,-0.411649799168786,0.53417156712562,-0.770632179814204,0.440924981532802,0.675077057999517,"thraa"
"ENSDARG00000000161",6.25006300590876,-1.17797198365009,1.19202904299742,-0.988207452301677,0.323051059162843,0.571177858632999,"itsn2a"
"ENSDARG00000000183",128.711664802958,-0.801430072289155,0.483767096760614,-1.65664444245106,0.0975913815339903,0.274128193493242,"ptpn4b"
"ENSDARG00000000189",334.159482190441,-0.68201180514222,0.419020448669101,-1.62763370453265,0.103602577988459,0.28469677817628,"sema6cb"
"ENSDARG00000000212",18691.1193403813,0.495976392898941,0.413165912017894,1.20042912174579,0.229972724433498,0.467273987366436,"krt97"
"ENSDARG00000000229",58.6576185588332,-0.596782571033727,0.554738997919054,-1.07578982777917,0.282021262626466,0.527362679810918,"usp49"
"ENSDARG00000000241",30.9114839289921,-0.789269944386242,0.678414444926007,-1.16340380174589,0.244665707798774,0.483615312348963,"slc40a1"
"ENSDARG00000000349",3.96133770699441,-1.57028568610976,1.49745266928492,-1.04863794249979,0.294344785960642,0.540189753189631,"cfap300"
"ENSDARG00000000370",144.672197969785,3.44279119370428,0.537118522141259,6.40974208072244,1.45766022073555e-10,1.40174341882537e-08,"triob"
"ENSDARG00000000394",515.38514321707,0.0927832165484558,0.385186420812353,0.24087873179116,0.809649106435411,0.913990953560226,"matr3l1.2"
"ENSDARG00000000423",84.3848933992842,-0.0975713630378597,0.476503633367305,-0.204765202624695,0.837755575201886,0.926347635086572,"si:ch73-314g15.3"
"ENSDARG00000000442",88.8913125831628,0.865543430007908,0.536048010482951,1.61467520274555,0.106381050273994,0.289349879864259,"slc39a13"
"ENSDARG00000000460",11.1463982796466,-3.47759111199186,1.08302777043909,-3.21098978891553,0.00132278635008852,0.0133400539764228,"nitr2b"
