"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSDARG00000000001",14.9977081712182,1.14015165255783,0.860016657526028,1.32573205714138,0.184928465008867,0.323296735172497
"ENSDARG00000000002",186.891212279981,1.98343626065419,0.441757767105913,4.48987297642387,7.12656588397962e-06,8.02530750516528e-05
"ENSDARG00000000018",107.342064376715,0.303616635484685,0.478799176227592,0.634121048153943,0.526001827417528,0.671950393480418
"ENSDARG00000000019",105.690124882261,1.76048275044164,0.514609537505425,3.42100684525901,0.000623897618967415,0.00351179179327386
"ENSDARG00000000068",39.9766046475874,-0.28320927793284,0.615243540554985,-0.460320603573292,0.645286114453353,0.767565677778233
"ENSDARG00000000069",140.97853854226,-0.238848295434668,0.472697010971754,-0.505288355734791,0.613356320111994,0.742312893873375
"ENSDARG00000000086",197.841369599497,1.53062009598168,0.564203081057902,2.71288858102602,0.00666995289172511,0.0246308896929742
"ENSDARG00000000103",227.40382774314,0.516773665345608,0.430114889584639,1.20147820468307,0.229565756056149,0.377861116320134
"ENSDARG00000000142",36.5796725236353,-0.422323450940871,0.680068873554475,-0.621001000580336,0.53459896483682,0.679210722968942
"ENSDARG00000000151",74.5761929364651,-1.35489905177617,0.571909422561983,-2.36907978488381,0.0178324061728532,0.0542544396231759
"ENSDARG00000000161",6.25006300590876,0.726240615322255,1.19215545462038,0.609182814630089,0.542403270031384,0.685686799398595
"ENSDARG00000000183",128.711664802958,-2.14782657927876,0.530498666953391,-4.04869364067123,5.15043109365303e-05,0.000431417572371942
"ENSDARG00000000189",334.159482190441,0.865662427012881,0.42062410983942,2.05804281486233,0.0395860236270278,0.100680957277396
"ENSDARG00000000212",18691.1193403813,-1.91169713453073,0.413693727655944,-4.62104452335479,3.81812815969999e-06,4.70954847901541e-05
"ENSDARG00000000229",58.6576185588332,0.240179999666954,0.57585804182248,0.417081958093057,0.676618461057885,0.790894983538524
"ENSDARG00000000241",30.9114839289921,-0.000315540060825327,0.706301282703605,-0.000446749947299389,0.999643545126368,1
"ENSDARG00000000349",3.96133770699441,-1.47092681265327,1.7258867529251,-0.852273076527347,0.394062545573577,0.552277183571946
"ENSDARG00000000370",144.672197969785,2.80929948780072,0.549224916466309,5.11502556343517,3.13698468866134e-07,5.66990277797845e-06
"ENSDARG00000000394",515.38514321707,-0.596397984127565,0.392116011434034,-1.52097330059652,0.128266537602047,0.248143869646646
"ENSDARG00000000423",84.3848933992842,-0.986917003979584,0.521462336207786,-1.89259498808046,0.0584117507940486,0.13667407315641
"ENSDARG00000000442",88.8913125831628,1.84190390756679,0.543088941290586,3.39153270768086,0.000695028669263954,0.00384289871301664
"ENSDARG00000000460",11.1463982796466,-4.57716638652893,1.72295550727235,-2.65657840101464,0.00789380935915416,0.0282906073166657
"ENSDARG00000000476",17.8318614524261,0.47260546672765,0.814909711234133,0.579948257104357,0.561949511654001,0.70137414238223
"ENSDARG00000000489",40.4535657911445,-0.457089985696011,0.616957312815226,-0.740877814723149,0.45876752819689,0.613418232497612
"ENSDARG00000000503",1.62671968410331,-3.01138960650041,2.5248061750185,-1.19272110322621,0.232978617957542,NA
"ENSDARG00000000529",20.7841264964128,1.08454133903257,0.768073871876917,1.41202738270775,0.157941898639322,0.288573311503562
"ENSDARG00000000540",62.2959869576123,-0.315376630998011,0.564555341065993,-0.558628371848396,0.576415372819353,0.713094453104715
"ENSDARG00000000542",58.215306846462,1.72272750140955,0.630584440349612,2.73195371020323,0.00629599861039215,0.0235204069400275
"ENSDARG00000000551",56.2815117228615,3.5845078264654,0.612493870379865,5.85231624316878,4.8477372580607e-09,1.70609993833588e-07
