"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000005891"
"1dpa_vs_0dpa","ENSDARG00000005915"
"1dpa_vs_0dpa","ENSDARG00000005943"
"1dpa_vs_0dpa","ENSDARG00000005993"
"1dpa_vs_0dpa","ENSDARG00000006094"
"1dpa_vs_0dpa","ENSDARG00000006125"
"1dpa_vs_0dpa","ENSDARG00000006128"
"1dpa_vs_0dpa","ENSDARG00000006192"
"1dpa_vs_0dpa","ENSDARG00000006200"
"1dpa_vs_0dpa","ENSDARG00000006207"
"1dpa_vs_0dpa","ENSDARG00000006251"
"1dpa_vs_0dpa","ENSDARG00000006301"
"1dpa_vs_0dpa","ENSDARG00000006353"
"1dpa_vs_0dpa","ENSDARG00000006477"
"1dpa_vs_0dpa","ENSDARG00000006526"
"1dpa_vs_0dpa","ENSDARG00000006546"
"1dpa_vs_0dpa","ENSDARG00000006588"
"1dpa_vs_0dpa","ENSDARG00000006600"
"1dpa_vs_0dpa","ENSDARG00000006624"
"1dpa_vs_0dpa","ENSDARG00000006677"
"1dpa_vs_0dpa","ENSDARG00000006691"
"1dpa_vs_0dpa","ENSDARG00000006766"
"1dpa_vs_0dpa","ENSDARG00000006786"
"1dpa_vs_0dpa","ENSDARG00000006811"
"1dpa_vs_0dpa","ENSDARG00000006837"
"1dpa_vs_0dpa","ENSDARG00000006901"
"1dpa_vs_0dpa","ENSDARG00000006963"
"1dpa_vs_0dpa","ENSDARG00000007034"
"1dpa_vs_0dpa","ENSDARG00000007098"
"1dpa_vs_0dpa","ENSDARG00000007172"
"1dpa_vs_0dpa","ENSDARG00000007219"
"1dpa_vs_0dpa","ENSDARG00000007241"
"1dpa_vs_0dpa","ENSDARG00000007275"
"1dpa_vs_0dpa","ENSDARG00000007285"
"1dpa_vs_0dpa","ENSDARG00000007320"
"1dpa_vs_0dpa","ENSDARG00000007356"
"1dpa_vs_0dpa","ENSDARG00000007396"
"1dpa_vs_0dpa","ENSDARG00000007409"
"1dpa_vs_0dpa","ENSDARG00000007418"
"1dpa_vs_0dpa","ENSDARG00000007425"
"1dpa_vs_0dpa","ENSDARG00000007461"
"1dpa_vs_0dpa","ENSDARG00000007534"
"1dpa_vs_0dpa","ENSDARG00000007682"
"1dpa_vs_0dpa","ENSDARG00000007693"
"1dpa_vs_0dpa","ENSDARG00000007708"
"1dpa_vs_0dpa","ENSDARG00000007709"
"1dpa_vs_0dpa","ENSDARG00000007720"
"1dpa_vs_0dpa","ENSDARG00000007743"
"1dpa_vs_0dpa","ENSDARG00000007753"
"1dpa_vs_0dpa","ENSDARG00000007769"
"1dpa_vs_0dpa","ENSDARG00000007783"
"1dpa_vs_0dpa","ENSDARG00000007791"
"1dpa_vs_0dpa","ENSDARG00000007795"
"1dpa_vs_0dpa","ENSDARG00000007836"
"1dpa_vs_0dpa","ENSDARG00000007950"
"1dpa_vs_0dpa","ENSDARG00000007975"
"1dpa_vs_0dpa","ENSDARG00000007976"
"1dpa_vs_0dpa","ENSDARG00000008020"
"1dpa_vs_0dpa","ENSDARG00000008022"
"1dpa_vs_0dpa","ENSDARG00000008034"
"1dpa_vs_0dpa","ENSDARG00000008060"
"1dpa_vs_0dpa","ENSDARG00000008247"
"1dpa_vs_0dpa","ENSDARG00000008275"
"1dpa_vs_0dpa","ENSDARG00000008363"
"1dpa_vs_0dpa","ENSDARG00000008398"
"1dpa_vs_0dpa","ENSDARG00000008491"
"1dpa_vs_0dpa","ENSDARG00000008575"
"1dpa_vs_0dpa","ENSDARG00000008593"
"1dpa_vs_0dpa","ENSDARG00000008697"
"1dpa_vs_0dpa","ENSDARG00000008805"
"1dpa_vs_0dpa","ENSDARG00000008816"
"1dpa_vs_0dpa","ENSDARG00000008920"
"1dpa_vs_0dpa","ENSDARG00000009040"
"1dpa_vs_0dpa","ENSDARG00000009087"
"1dpa_vs_0dpa","ENSDARG00000009094"
"1dpa_vs_0dpa","ENSDARG00000009123"
"1dpa_vs_0dpa","ENSDARG00000009196"
"1dpa_vs_0dpa","ENSDARG00000009208"
"1dpa_vs_0dpa","ENSDARG00000009215"
"1dpa_vs_0dpa","ENSDARG00000009262"
"1dpa_vs_0dpa","ENSDARG00000009387"
"1dpa_vs_0dpa","ENSDARG00000009390"
"1dpa_vs_0dpa","ENSDARG00000009401"
"1dpa_vs_0dpa","ENSDARG00000009402"
"1dpa_vs_0dpa","ENSDARG00000009511"
"1dpa_vs_0dpa","ENSDARG00000009544"
"1dpa_vs_0dpa","ENSDARG00000009549"
"1dpa_vs_0dpa","ENSDARG00000009689"
"1dpa_vs_0dpa","ENSDARG00000009724"
"1dpa_vs_0dpa","ENSDARG00000009753"
"1dpa_vs_0dpa","ENSDARG00000009779"
"1dpa_vs_0dpa","ENSDARG00000009806"
"1dpa_vs_0dpa","ENSDARG00000009881"
"1dpa_vs_0dpa","ENSDARG00000009939"
"1dpa_vs_0dpa","ENSDARG00000009950"
"1dpa_vs_0dpa","ENSDARG00000009958"
"1dpa_vs_0dpa","ENSDARG00000009978"
"1dpa_vs_0dpa","ENSDARG00000010047"
"1dpa_vs_0dpa","ENSDARG00000010070"
"1dpa_vs_0dpa","ENSDARG00000010113"
"1dpa_vs_0dpa","ENSDARG00000010146"
"1dpa_vs_0dpa","ENSDARG00000010154"
"1dpa_vs_0dpa","ENSDARG00000010160"
"1dpa_vs_0dpa","ENSDARG00000010181"
"1dpa_vs_0dpa","ENSDARG00000010183"
"1dpa_vs_0dpa","ENSDARG00000010250"
"1dpa_vs_0dpa","ENSDARG00000010276"
"1dpa_vs_0dpa","ENSDARG00000010331"
"1dpa_vs_0dpa","ENSDARG00000010381"
"1dpa_vs_0dpa","ENSDARG00000010423"
"1dpa_vs_0dpa","ENSDARG00000010437"
"1dpa_vs_0dpa","ENSDARG00000010445"
"1dpa_vs_0dpa","ENSDARG00000010524"
"1dpa_vs_0dpa","ENSDARG00000010531"
"1dpa_vs_0dpa","ENSDARG00000010553"
"1dpa_vs_0dpa","ENSDARG00000010641"
"1dpa_vs_0dpa","ENSDARG00000010658"
