"comparison","ensembl_id","gene_symbol"
"1dpa_vs_0dpa","ENSDARG00000090228","gsta.1"
"1dpa_vs_0dpa","ENSDARG00000090234","bmf1"
"1dpa_vs_0dpa","ENSDARG00000090253","zgc:113223"
"1dpa_vs_0dpa","ENSDARG00000090268","krt1-19e"
"1dpa_vs_0dpa","ENSDARG00000090337","pprc1"
"1dpa_vs_0dpa","ENSDARG00000090344","il19l"
"1dpa_vs_0dpa","ENSDARG00000090346","zmp:0000000991"
"1dpa_vs_0dpa","ENSDARG00000090449","sp100.3"
"1dpa_vs_0dpa","ENSDARG00000090486","LOC110438373"
"1dpa_vs_0dpa","ENSDARG00000090524","f2rl2"
"1dpa_vs_0dpa","ENSDARG00000090526","plekhs1.3"
"1dpa_vs_0dpa","ENSDARG00000090560","mfap5"
"1dpa_vs_0dpa","ENSDARG00000090568","mrpl52"
"1dpa_vs_0dpa","ENSDARG00000090585","gpc1b"
"1dpa_vs_0dpa","ENSDARG00000090615","cd59a"
"1dpa_vs_0dpa","ENSDARG00000090634","smim29"
"1dpa_vs_0dpa","ENSDARG00000090741","tor1l2"
"1dpa_vs_0dpa","ENSDARG00000090785","diaph3"
"1dpa_vs_0dpa","ENSDARG00000090833","igfbp6b"
"1dpa_vs_0dpa","ENSDARG00000090851","ciita"
"1dpa_vs_0dpa","ENSDARG00000090889","lect2.2"
"1dpa_vs_0dpa","ENSDARG00000090900","apnl"
"1dpa_vs_0dpa","ENSDARG00000090912","npc2.1"
"1dpa_vs_0dpa","ENSDARG00000090945","si:ch211-170d8.8"
"1dpa_vs_0dpa","ENSDARG00000090993","rnf4"
"1dpa_vs_0dpa","ENSDARG00000091001","mycbp"
"1dpa_vs_0dpa","ENSDARG00000091058","sting1"
"1dpa_vs_0dpa","ENSDARG00000091079","malsu1"
"1dpa_vs_0dpa","ENSDARG00000091095","si:dkey-88n24.8"
"1dpa_vs_0dpa","ENSDARG00000091127","klf15"
"1dpa_vs_0dpa","ENSDARG00000091138","actr3"
"1dpa_vs_0dpa","ENSDARG00000091150","mki67"
"1dpa_vs_0dpa","ENSDARG00000091209","ucp3"
"1dpa_vs_0dpa","ENSDARG00000091211","adh8a"
"1dpa_vs_0dpa","ENSDARG00000091215","rpz2"
"1dpa_vs_0dpa","ENSDARG00000091222","si:dkey-190l8.2"
"1dpa_vs_0dpa","ENSDARG00000091234","si:ch73-335l21.4"
"1dpa_vs_0dpa","ENSDARG00000091280","si:ch211-66k16.27"
"1dpa_vs_0dpa","ENSDARG00000091592","peli1a"
"1dpa_vs_0dpa","ENSDARG00000091624","ugt2b6"
"1dpa_vs_0dpa","ENSDARG00000091669","bicdl2l"
"1dpa_vs_0dpa","ENSDARG00000091734","traf3ip2l"
"1dpa_vs_0dpa","ENSDARG00000091754","chchd5"
"1dpa_vs_0dpa","ENSDARG00000091801","serpinb14"
"1dpa_vs_0dpa","ENSDARG00000091860","zgc:194007"
"1dpa_vs_0dpa","ENSDARG00000091906","rbp7a"
"1dpa_vs_0dpa","ENSDARG00000091932","si:ch73-25f10.6"
"1dpa_vs_0dpa","ENSDARG00000091996","tcnbb"
"1dpa_vs_0dpa","ENSDARG00000091997","si:ch211-284e13.11"
"1dpa_vs_0dpa","ENSDARG00000092045",NA
"1dpa_vs_0dpa","ENSDARG00000092057","si:dkey-90l23.1"
"1dpa_vs_0dpa","ENSDARG00000092115","eif4a1a"
"1dpa_vs_0dpa","ENSDARG00000092119",NA
"1dpa_vs_0dpa","ENSDARG00000092122","si:ch211-229n2.6"
"1dpa_vs_0dpa","ENSDARG00000092124","cox14"
"1dpa_vs_0dpa","ENSDARG00000092158","cbx3b"
"1dpa_vs_0dpa","ENSDARG00000092228","si:dkey-27p18.3"
"1dpa_vs_0dpa","ENSDARG00000092281","flnb"
"1dpa_vs_0dpa","ENSDARG00000092283","cxl34b.11"
"1dpa_vs_0dpa","ENSDARG00000092352","jac4"
"1dpa_vs_0dpa","ENSDARG00000092361","ifi44a5"
"1dpa_vs_0dpa","ENSDARG00000092379","si:dkeyp-51b9.3"
"1dpa_vs_0dpa","ENSDARG00000092387","zgc:193742"
"1dpa_vs_0dpa","ENSDARG00000092423","cxcl11.5"
"1dpa_vs_0dpa","ENSDARG00000092458","si:dkey-282h22.5"
"1dpa_vs_0dpa","ENSDARG00000092467","linc-epb41l4a"
"1dpa_vs_0dpa","ENSDARG00000092480","vegfbb"
"1dpa_vs_0dpa","ENSDARG00000092499","si:ch211-183d21.1"
"1dpa_vs_0dpa","ENSDARG00000092521","jac1"
"1dpa_vs_0dpa","ENSDARG00000092532","si:dkey-21e2.4"
"1dpa_vs_0dpa","ENSDARG00000092551",NA
"1dpa_vs_0dpa","ENSDARG00000092651","sgo2"
"1dpa_vs_0dpa","ENSDARG00000092664","si:dkey-93m18.3"
"1dpa_vs_0dpa","ENSDARG00000092677","coa6"
"1dpa_vs_0dpa","ENSDARG00000092687",NA
"1dpa_vs_0dpa","ENSDARG00000092714","si:ch211-266a5.12"
"1dpa_vs_0dpa","ENSDARG00000092726","si:dkey-184p9.7"
"1dpa_vs_0dpa","ENSDARG00000092731","mhc1uka"
"1dpa_vs_0dpa","ENSDARG00000092770","si:ch211-253p18.2"
"1dpa_vs_0dpa","ENSDARG00000092787","si:dkey-88p24.11"
"1dpa_vs_0dpa","ENSDARG00000092792","rprm3"
"1dpa_vs_0dpa","ENSDARG00000092806","mfap4.7"
"1dpa_vs_0dpa","ENSDARG00000092807","si:dkey-151g10.6"
"1dpa_vs_0dpa","ENSDARG00000092885","zgc:171977"
"1dpa_vs_0dpa","ENSDARG00000092892",NA
"1dpa_vs_0dpa","ENSDARG00000092903","zgc:153317"
"1dpa_vs_0dpa","ENSDARG00000092920","si:ch211-106h4.12"
"1dpa_vs_0dpa","ENSDARG00000092954","mrpl34"
"1dpa_vs_0dpa","ENSDARG00000093003","acy3.1"
"1dpa_vs_0dpa","ENSDARG00000093005","htra2-8"
"1dpa_vs_0dpa","ENSDARG00000093006","rarres3"
"1dpa_vs_0dpa","ENSDARG00000093022","selenoh"
"1dpa_vs_0dpa","ENSDARG00000093024","rnh1"
"1dpa_vs_0dpa","ENSDARG00000093058","stmp1"
"1dpa_vs_0dpa","ENSDARG00000093093","adam17b"
"1dpa_vs_0dpa","ENSDARG00000093112","espnlb"
"1dpa_vs_0dpa","ENSDARG00000093214","si:ch211-284e13.9"
"1dpa_vs_0dpa","ENSDARG00000093235","mpst"
"1dpa_vs_0dpa","ENSDARG00000093255","wu:fi34e01"
"1dpa_vs_0dpa","ENSDARG00000093304","si:dkey-221j11.3"
"1dpa_vs_0dpa","ENSDARG00000093317","si:ch211-209j10.6"
"1dpa_vs_0dpa","ENSDARG00000093354","LOC103909357"
"1dpa_vs_0dpa","ENSDARG00000093364",NA
"1dpa_vs_0dpa","ENSDARG00000093382","uqcc3"
"1dpa_vs_0dpa","ENSDARG00000093444","si:dkey-106l3.7"
"1dpa_vs_0dpa","ENSDARG00000093484",NA
"1dpa_vs_0dpa","ENSDARG00000093494",NA
"1dpa_vs_0dpa","ENSDARG00000093549","selenop"
"1dpa_vs_0dpa","ENSDARG00000093584","zgc:193505"
"1dpa_vs_0dpa","ENSDARG00000093608","ccl34b.1"
"1dpa_vs_0dpa","ENSDARG00000093621","si:dkey-27b3.4"
"1dpa_vs_0dpa","ENSDARG00000093628","s100a11"
"1dpa_vs_0dpa","ENSDARG00000093671",NA
"1dpa_vs_0dpa","ENSDARG00000093673",NA
"1dpa_vs_0dpa","ENSDARG00000093684","tmem238a"
"1dpa_vs_0dpa","ENSDARG00000093760","si:ch211-197h24.9"
"1dpa_vs_0dpa","ENSDARG00000093783","tex55"
"1dpa_vs_0dpa","ENSDARG00000093877","mfap4.8"
"1dpa_vs_0dpa","ENSDARG00000093936",NA
"1dpa_vs_0dpa","ENSDARG00000093945","vma21"
"1dpa_vs_0dpa","ENSDARG00000093957","si:dkey-251i10.2"
"1dpa_vs_0dpa","ENSDARG00000093997","si:dkey-9i23.15"
"1dpa_vs_0dpa","ENSDARG00000094002","ccl34b.4"
"1dpa_vs_0dpa","ENSDARG00000094018","rnf214"
"1dpa_vs_0dpa","ENSDARG00000094025","si:dkey-237j10.2"
"1dpa_vs_0dpa","ENSDARG00000094088","si:ch211-229n2.7"
"1dpa_vs_0dpa","ENSDARG00000094089","si:dkey-236e20.1"
"1dpa_vs_0dpa","ENSDARG00000094154","hist2h3c"
"1dpa_vs_0dpa","ENSDARG00000094202","si:dkeyp-72g6.2"
"1dpa_vs_0dpa","ENSDARG00000094206","si:ch73-191k20.3"
"1dpa_vs_0dpa","ENSDARG00000094281","si:ch73-196i15.3"
"1dpa_vs_0dpa","ENSDARG00000094284","si:dkey-58f10.10"
"1dpa_vs_0dpa","ENSDARG00000094300","nupr1a"
"1dpa_vs_0dpa","ENSDARG00000094316","si:rp71-80o10.4"
"1dpa_vs_0dpa","ENSDARG00000094324","efemp2a"
"1dpa_vs_0dpa","ENSDARG00000094380","zzef1"
"1dpa_vs_0dpa","ENSDARG00000094392","si:dkey-229d11.5"
"1dpa_vs_0dpa","ENSDARG00000094408","mfap4.11"
"1dpa_vs_0dpa","ENSDARG00000094422","si:dkey-12l12.1"
"1dpa_vs_0dpa","ENSDARG00000094433","caspbl"
"1dpa_vs_0dpa","ENSDARG00000094466","tuba8l5"
"1dpa_vs_0dpa","ENSDARG00000094486",NA
"1dpa_vs_0dpa","ENSDARG00000094492","si:ch211-284e13.12"
"1dpa_vs_0dpa","ENSDARG00000094511","ccl20b"
"1dpa_vs_0dpa","ENSDARG00000094643","ms4a17c.1"
"1dpa_vs_0dpa","ENSDARG00000094695","si:dkey-204f11.64"
"1dpa_vs_0dpa","ENSDARG00000094809","ms4a17a.11"
"1dpa_vs_0dpa","ENSDARG00000094820",NA
"1dpa_vs_0dpa","ENSDARG00000094833","coa5"
"1dpa_vs_0dpa","ENSDARG00000094836","si:ch211-195b15.8"
"1dpa_vs_0dpa","ENSDARG00000094845","mfap4.6"
"1dpa_vs_0dpa","ENSDARG00000094935","si:dkey-58f10.11"
"1dpa_vs_0dpa","ENSDARG00000094977","troap"
"1dpa_vs_0dpa","ENSDARG00000094990","gjc4a.2"
"1dpa_vs_0dpa","ENSDARG00000094996","sult1st9"
"1dpa_vs_0dpa","ENSDARG00000095005","si:dkey-21e2.10"
"1dpa_vs_0dpa","ENSDARG00000095025","si:dkey-17e16.18"
"1dpa_vs_0dpa","ENSDARG00000095090","tspan37"
"1dpa_vs_0dpa","ENSDARG00000095157","tmem14a"
"1dpa_vs_0dpa","ENSDARG00000095212","si:ch211-210b2.4"
"1dpa_vs_0dpa","ENSDARG00000095250","si:ch211-225k7.3"
"1dpa_vs_0dpa","ENSDARG00000095259","tmem119a"
"1dpa_vs_0dpa","ENSDARG00000095295","si:rp71-36a1.1"
"1dpa_vs_0dpa","ENSDARG00000095312","LOC566194"
"1dpa_vs_0dpa","ENSDARG00000095400","si:ch73-52f15.5"
"1dpa_vs_0dpa","ENSDARG00000095451",NA
"1dpa_vs_0dpa","ENSDARG00000095459","si:ch211-191j22.3"
"1dpa_vs_0dpa","ENSDARG00000095593","si:ch211-134c9.2"
"1dpa_vs_0dpa","ENSDARG00000095615","si:dkeyp-86h10.3"
"1dpa_vs_0dpa","ENSDARG00000095623","dpm2"
"1dpa_vs_0dpa","ENSDARG00000095705","cdpf1"
"1dpa_vs_0dpa","ENSDARG00000095754","si:dkey-234h16.7"
"1dpa_vs_0dpa","ENSDARG00000095796","si:dkey-87o1.2"
"1dpa_vs_0dpa","ENSDARG00000095807","msmbl"
"1dpa_vs_0dpa","ENSDARG00000095821","si:dkey-122a22.2"
"1dpa_vs_0dpa","ENSDARG00000095826",NA
"1dpa_vs_0dpa","ENSDARG00000095861",NA
"1dpa_vs_0dpa","ENSDARG00000095897","atp5f1e"
"1dpa_vs_0dpa","ENSDARG00000095914",NA
"1dpa_vs_0dpa","ENSDARG00000095939","si:ch73-226l13.2"
"1dpa_vs_0dpa","ENSDARG00000095944",NA
"1dpa_vs_0dpa","ENSDARG00000095947","adkb"
"1dpa_vs_0dpa","ENSDARG00000095966","zgc:171699"
"1dpa_vs_0dpa","ENSDARG00000096017","si:ch211-250e5.3"
"1dpa_vs_0dpa","ENSDARG00000096233","si:dkey-260c8.6"
"1dpa_vs_0dpa","ENSDARG00000096242","si:ch211-76l23.4"
"1dpa_vs_0dpa","ENSDARG00000096319","si:ch211-239j9.1"
"1dpa_vs_0dpa","ENSDARG00000096331","si:ch73-248e21.7"
"1dpa_vs_0dpa","ENSDARG00000096346","si:ch211-85n16.3"
"1dpa_vs_0dpa","ENSDARG00000096359","eppk1"
"1dpa_vs_0dpa","ENSDARG00000096380","defbl2"
"1dpa_vs_0dpa","ENSDARG00000096381","neu3.4"
"1dpa_vs_0dpa","ENSDARG00000096554","si:dkey-25o16.4"
"1dpa_vs_0dpa","ENSDARG00000096631","med9"
"1dpa_vs_0dpa","ENSDARG00000096651","LOC556363"
"1dpa_vs_0dpa","ENSDARG00000096661","si:ch211-286b5.5"
"1dpa_vs_0dpa","ENSDARG00000096664","cxl34c"
"1dpa_vs_0dpa","ENSDARG00000096668","mzt1"
"1dpa_vs_0dpa","ENSDARG00000096678",NA
"1dpa_vs_0dpa","ENSDARG00000096712","si:dkey-193p11.2"
"1dpa_vs_0dpa","ENSDARG00000096721",NA
"1dpa_vs_0dpa","ENSDARG00000096726","hspa12a.2"
"1dpa_vs_0dpa","ENSDARG00000096739","si:dkey-219e21.2"
"1dpa_vs_0dpa","ENSDARG00000096749","ndufaf8"
"1dpa_vs_0dpa","ENSDARG00000096786","plekhs1.4"
"1dpa_vs_0dpa","ENSDARG00000096808","si:dkey-287g12.6"
"1dpa_vs_0dpa","ENSDARG00000096829","blvrb"
"1dpa_vs_0dpa","ENSDARG00000096849","si:dkey-16p21.8"
"1dpa_vs_0dpa","ENSDARG00000096863","si:ch73-380l3.4"
"1dpa_vs_0dpa","ENSDARG00000096888","serpinb1l4"
"1dpa_vs_0dpa","ENSDARG00000096927","si:ch211-210b2.3"
"1dpa_vs_0dpa","ENSDARG00000096940","si:dkey-52p2.5"
"1dpa_vs_0dpa","ENSDARG00000096950","si:ch211-116o3.6"
"1dpa_vs_0dpa","ENSDARG00000096954",NA
"1dpa_vs_0dpa","ENSDARG00000096992","zgc:153405"
"1dpa_vs_0dpa","ENSDARG00000097017","mical3a"
"1dpa_vs_0dpa","ENSDARG00000097057","fxyd6l"
"1dpa_vs_0dpa","ENSDARG00000097065",NA
"1dpa_vs_0dpa","ENSDARG00000097157","si:ch211-207n23.2"
"1dpa_vs_0dpa","ENSDARG00000097224","prr33"
"1dpa_vs_0dpa","ENSDARG00000097239","si:ch73-31d8.2"
"1dpa_vs_0dpa","ENSDARG00000097346","ten1"
"1dpa_vs_0dpa","ENSDARG00000097368","si:dkey-244a7.1"
"1dpa_vs_0dpa","ENSDARG00000097405",NA
"1dpa_vs_0dpa","ENSDARG00000097416","si:ch73-306e8.2"
"1dpa_vs_0dpa","ENSDARG00000097456","coa3b"
"1dpa_vs_0dpa","ENSDARG00000097483","linc.pou2af1"
"1dpa_vs_0dpa","ENSDARG00000097489",NA
"1dpa_vs_0dpa","ENSDARG00000097503","si:ch73-288o11.5"
"1dpa_vs_0dpa","ENSDARG00000097513","LOC100006250"
"1dpa_vs_0dpa","ENSDARG00000097527","LOC108179093"
"1dpa_vs_0dpa","ENSDARG00000097556","cyp8b1.2"
"1dpa_vs_0dpa","ENSDARG00000097559","cyp8b1.3"
"1dpa_vs_0dpa","ENSDARG00000097630","rbis"
"1dpa_vs_0dpa","ENSDARG00000097635",NA
"1dpa_vs_0dpa","ENSDARG00000097651",NA
"1dpa_vs_0dpa","ENSDARG00000097743","si:dkey-276j7.2"
"1dpa_vs_0dpa","ENSDARG00000097789","pon3.2"
"1dpa_vs_0dpa","ENSDARG00000097804","lypc"
"1dpa_vs_0dpa","ENSDARG00000097824","smco4"
"1dpa_vs_0dpa","ENSDARG00000097889",NA
"1dpa_vs_0dpa","ENSDARG00000097902","si:ch73-204p21.2"
"1dpa_vs_0dpa","ENSDARG00000097909","si:dkey-195m11.11"
"1dpa_vs_0dpa","ENSDARG00000097959","si:dkey-248g15.3"
"1dpa_vs_0dpa","ENSDARG00000097973",NA
"1dpa_vs_0dpa","ENSDARG00000098017","pet100"
"1dpa_vs_0dpa","ENSDARG00000098059",NA
"1dpa_vs_0dpa","ENSDARG00000098108","dusp2"
"1dpa_vs_0dpa","ENSDARG00000098112","btc"
"1dpa_vs_0dpa","ENSDARG00000098191","si:dkey-16l2.20"
"1dpa_vs_0dpa","ENSDARG00000098237","fbn2b"
"1dpa_vs_0dpa","ENSDARG00000098288","tax1bp1a"
"1dpa_vs_0dpa","ENSDARG00000098293","si:dkey-27i16.2"
"1dpa_vs_0dpa","ENSDARG00000098296","gnsb"
"1dpa_vs_0dpa","ENSDARG00000098304","taok1b"
"1dpa_vs_0dpa","ENSDARG00000098315","cyp1a"
"1dpa_vs_0dpa","ENSDARG00000098338",NA
"1dpa_vs_0dpa","ENSDARG00000098349","hdac4"
"1dpa_vs_0dpa","ENSDARG00000098368","aplp1"
"1dpa_vs_0dpa","ENSDARG00000098374",NA
"1dpa_vs_0dpa","ENSDARG00000098390",NA
"1dpa_vs_0dpa","ENSDARG00000098391","psmg3"
"1dpa_vs_0dpa","ENSDARG00000098401","fam136a"
"1dpa_vs_0dpa","ENSDARG00000098405","map3k1"
"1dpa_vs_0dpa","ENSDARG00000098461",NA
"1dpa_vs_0dpa","ENSDARG00000098477","tec"
"1dpa_vs_0dpa","ENSDARG00000098481","anxa1d"
"1dpa_vs_0dpa","ENSDARG00000098485",NA
"1dpa_vs_0dpa","ENSDARG00000098529","ccne2"
"1dpa_vs_0dpa","ENSDARG00000098538","muc5fl"
"1dpa_vs_0dpa","ENSDARG00000098567",NA
"1dpa_vs_0dpa","ENSDARG00000098588","gchfr"
"1dpa_vs_0dpa","ENSDARG00000098627","gspt1l"
"1dpa_vs_0dpa","ENSDARG00000098640","LOC100005927"
"1dpa_vs_0dpa","ENSDARG00000098645","rgn"
"1dpa_vs_0dpa","ENSDARG00000098646","mthfd2"
"1dpa_vs_0dpa","ENSDARG00000098650","iqgap3"
"1dpa_vs_0dpa","ENSDARG00000098662","si:ch73-359m17.9"
"1dpa_vs_0dpa","ENSDARG00000098670","map4k4"
"1dpa_vs_0dpa","ENSDARG00000098695","vclb"
"1dpa_vs_0dpa","ENSDARG00000098696","rela"
"1dpa_vs_0dpa","ENSDARG00000098733","pxdn"
"1dpa_vs_0dpa","ENSDARG00000098746","dhrs13l1"
"1dpa_vs_0dpa","ENSDARG00000098761","rgs2"
"1dpa_vs_0dpa","ENSDARG00000098771","cbx8b"
"1dpa_vs_0dpa","ENSDARG00000098772","gig2d"
"1dpa_vs_0dpa","ENSDARG00000098786","rangrf"
"1dpa_vs_0dpa","ENSDARG00000098802","map7d1a"
"1dpa_vs_0dpa","ENSDARG00000098805","vwa11"
"1dpa_vs_0dpa","ENSDARG00000098826",NA
"1dpa_vs_0dpa","ENSDARG00000098852","smdt1b"
"1dpa_vs_0dpa","ENSDARG00000098868","xpo5"
"1dpa_vs_0dpa","ENSDARG00000098925","prdm1b"
"1dpa_vs_0dpa","ENSDARG00000098970",NA
"1dpa_vs_0dpa","ENSDARG00000098989","LOC101885160"
"1dpa_vs_0dpa","ENSDARG00000099002","creb5a"
"1dpa_vs_0dpa","ENSDARG00000099014","fxyd3"
"1dpa_vs_0dpa","ENSDARG00000099022","faua"
"1dpa_vs_0dpa","ENSDARG00000099031","scn4ba"
"1dpa_vs_0dpa","ENSDARG00000099122","naa38"
"1dpa_vs_0dpa","ENSDARG00000099123","hist1h2a7"
"1dpa_vs_0dpa","ENSDARG00000099124","f3a"
"1dpa_vs_0dpa","ENSDARG00000099137","ltbp4"
"1dpa_vs_0dpa","ENSDARG00000099138","btr29"
"1dpa_vs_0dpa","ENSDARG00000099139","fbxw5"
"1dpa_vs_0dpa","ENSDARG00000099154","wu:fb14d09"
"1dpa_vs_0dpa","ENSDARG00000099164","nacc1a"
"1dpa_vs_0dpa","ENSDARG00000099184","map2k6"
"1dpa_vs_0dpa","ENSDARG00000099194","incenp"
"1dpa_vs_0dpa","ENSDARG00000099195","ier2a"
"1dpa_vs_0dpa","ENSDARG00000099226","ppp1cc"
"1dpa_vs_0dpa","ENSDARG00000099252","ipcef1"
"1dpa_vs_0dpa","ENSDARG00000099265","slc7a5"
"1dpa_vs_0dpa","ENSDARG00000099281",NA
"1dpa_vs_0dpa","ENSDARG00000099301","cdc37"
"1dpa_vs_0dpa","ENSDARG00000099306","fbxo2"
"1dpa_vs_0dpa","ENSDARG00000099307","si:dkey-10p5.10"
"1dpa_vs_0dpa","ENSDARG00000099309",NA
"1dpa_vs_0dpa","ENSDARG00000099331","LOC100332787"
"1dpa_vs_0dpa","ENSDARG00000099332","ly6m5"
"1dpa_vs_0dpa","ENSDARG00000099344","pla2g10"
"1dpa_vs_0dpa","ENSDARG00000099371","cygb1"
"1dpa_vs_0dpa","ENSDARG00000099374","sp9"
"1dpa_vs_0dpa","ENSDARG00000099385","lsp1b"
"1dpa_vs_0dpa","ENSDARG00000099389","cdo1"
"1dpa_vs_0dpa","ENSDARG00000099411","zgc:158343"
"1dpa_vs_0dpa","ENSDARG00000099423",NA
"1dpa_vs_0dpa","ENSDARG00000099424","lcat"
"1dpa_vs_0dpa","ENSDARG00000099438",NA
"1dpa_vs_0dpa","ENSDARG00000099476","zgc:174863"
"1dpa_vs_0dpa","ENSDARG00000099499","ndufa4a"
"1dpa_vs_0dpa","ENSDARG00000099500","clec3bb"
"1dpa_vs_0dpa","ENSDARG00000099510","cnn3a"
"1dpa_vs_0dpa","ENSDARG00000099518","si:ch211-119e14.1"
"1dpa_vs_0dpa","ENSDARG00000099579","aldh18a1"
"1dpa_vs_0dpa","ENSDARG00000099619",NA
"1dpa_vs_0dpa","ENSDARG00000099689","spink2.3"
"1dpa_vs_0dpa","ENSDARG00000099710",NA
"1dpa_vs_0dpa","ENSDARG00000099715","si:dkey-152b24.7"
"1dpa_vs_0dpa","ENSDARG00000099717","si:rp71-1h20.3"
"1dpa_vs_0dpa","ENSDARG00000099730","pkma"
"1dpa_vs_0dpa","ENSDARG00000099744","gap43"
"1dpa_vs_0dpa","ENSDARG00000099758","igf2bp2b"
"1dpa_vs_0dpa","ENSDARG00000099759","LOC100001444"
"1dpa_vs_0dpa","ENSDARG00000099767","fhdc2"
"1dpa_vs_0dpa","ENSDARG00000099776","glula"
"1dpa_vs_0dpa","ENSDARG00000099786","actn4"
"1dpa_vs_0dpa","ENSDARG00000099802","pnp5b"
"1dpa_vs_0dpa","ENSDARG00000099804","LOC100002633"
"1dpa_vs_0dpa","ENSDARG00000099811","spink2.9"
"1dpa_vs_0dpa","ENSDARG00000099817","tusc2a"
"1dpa_vs_0dpa","ENSDARG00000099819","sb:cb1058"
"1dpa_vs_0dpa","ENSDARG00000099851","gpr180"
"1dpa_vs_0dpa","ENSDARG00000099867",NA
"1dpa_vs_0dpa","ENSDARG00000099880","sp6"
"1dpa_vs_0dpa","ENSDARG00000099915","p2ry2.1"
"1dpa_vs_0dpa","ENSDARG00000099923","zgc:154054"
"1dpa_vs_0dpa","ENSDARG00000099950","cldn8.3"
"1dpa_vs_0dpa","ENSDARG00000099960","elovl1a"
"1dpa_vs_0dpa","ENSDARG00000099995","apbb2b"
"1dpa_vs_0dpa","ENSDARG00000100019","arhgap11a"
"1dpa_vs_0dpa","ENSDARG00000100020","pim1"
"1dpa_vs_0dpa","ENSDARG00000100024","hist1h2a6"
"1dpa_vs_0dpa","ENSDARG00000100047","ergic1"
"1dpa_vs_0dpa","ENSDARG00000100051","spink2.4"
"1dpa_vs_0dpa","ENSDARG00000100057","ppfibp1b"
"1dpa_vs_0dpa","ENSDARG00000100095","anxa1b"
"1dpa_vs_0dpa","ENSDARG00000100104","anxa14"
"1dpa_vs_0dpa","ENSDARG00000100159","angptl1b"
"1dpa_vs_0dpa","ENSDARG00000100181",NA
"1dpa_vs_0dpa","ENSDARG00000100234",NA
"1dpa_vs_0dpa","ENSDARG00000100252","capzb"
"1dpa_vs_0dpa","ENSDARG00000100259","si:dkey-23a13.1"
"1dpa_vs_0dpa","ENSDARG00000100260","them6"
"1dpa_vs_0dpa","ENSDARG00000100279","si:ch73-368j24.13"
"1dpa_vs_0dpa","ENSDARG00000100336","LOC100007492"
"1dpa_vs_0dpa","ENSDARG00000100371","eef2b"
"1dpa_vs_0dpa","ENSDARG00000100392","rps18"
"1dpa_vs_0dpa","ENSDARG00000100412",NA
"1dpa_vs_0dpa","ENSDARG00000100426","fam167b"
"1dpa_vs_0dpa","ENSDARG00000100449","si:busm1-71b9.3"
"1dpa_vs_0dpa","ENSDARG00000100456",NA
"1dpa_vs_0dpa","ENSDARG00000100476","si:dkeyp-110c7.4"
"1dpa_vs_0dpa","ENSDARG00000100484",NA
"1dpa_vs_0dpa","ENSDARG00000100487","nploc4"
"1dpa_vs_0dpa","ENSDARG00000100515","dusp1"
"1dpa_vs_0dpa","ENSDARG00000100562","sdc3"
"1dpa_vs_0dpa","ENSDARG00000100573","ckap2l"
"1dpa_vs_0dpa","ENSDARG00000100582","si:ch211-195b11.3"
"1dpa_vs_0dpa","ENSDARG00000100585","coa3a"
"1dpa_vs_0dpa","ENSDARG00000100588","rpl36"
"1dpa_vs_0dpa","ENSDARG00000100614","zgc:171497"
"1dpa_vs_0dpa","ENSDARG00000100621","muc2.1"
"1dpa_vs_0dpa","ENSDARG00000100623","trrap"
"1dpa_vs_0dpa","ENSDARG00000100691","prss35"
"1dpa_vs_0dpa","ENSDARG00000100712",NA
"1dpa_vs_0dpa","ENSDARG00000100717","socs5a"
"1dpa_vs_0dpa","ENSDARG00000100719","uraha"
"1dpa_vs_0dpa","ENSDARG00000100741","cdc20"
"1dpa_vs_0dpa","ENSDARG00000100774","cmc4"
"1dpa_vs_0dpa","ENSDARG00000100795","timp4.3"
"1dpa_vs_0dpa","ENSDARG00000100799",NA
"1dpa_vs_0dpa","ENSDARG00000100815","srsf3a"
"1dpa_vs_0dpa","ENSDARG00000100818","kyat3.1"
"1dpa_vs_0dpa","ENSDARG00000100854","ago4"
"1dpa_vs_0dpa","ENSDARG00000100867","rictora"
"1dpa_vs_0dpa","ENSDARG00000100897","pdgfrb"
"1dpa_vs_0dpa","ENSDARG00000100900",NA
"1dpa_vs_0dpa","ENSDARG00000100913","arhgef12b"
"1dpa_vs_0dpa","ENSDARG00000100938","hint2"
"1dpa_vs_0dpa","ENSDARG00000100942","zgc:194655"
"1dpa_vs_0dpa","ENSDARG00000100946","si:ch211-212k18.9"
"1dpa_vs_0dpa","ENSDARG00000100952","wu:fj16a03"
"1dpa_vs_0dpa","ENSDARG00000100968","si:ch211-1a19.3"
"1dpa_vs_0dpa","ENSDARG00000101019","ext1b"
"1dpa_vs_0dpa","ENSDARG00000101040","ccl20a.3"
"1dpa_vs_0dpa","ENSDARG00000101043","ppl"
"1dpa_vs_0dpa","ENSDARG00000101081","ptprub"
"1dpa_vs_0dpa","ENSDARG00000101085","ss18l2"
"1dpa_vs_0dpa","ENSDARG00000101088","si:ch73-359m17.5"
"1dpa_vs_0dpa","ENSDARG00000101090","pappaa"
"1dpa_vs_0dpa","ENSDARG00000101135","si:dkey-85k7.7"
"1dpa_vs_0dpa","ENSDARG00000101170","rab42b"
"1dpa_vs_0dpa","ENSDARG00000101180","mcm7"
"1dpa_vs_0dpa","ENSDARG00000101181","s100w"
"1dpa_vs_0dpa","ENSDARG00000101199","rbp4"
"1dpa_vs_0dpa","ENSDARG00000101209","lamb1a"
