"comparison","ensembl_id","gene_symbol"
"1dpa_vs_0dpa","ENSDARG00000005128","rnaseh2b"
"1dpa_vs_0dpa","ENSDARG00000005163","efr3a"
"1dpa_vs_0dpa","ENSDARG00000005172","dynll2b"
"1dpa_vs_0dpa","ENSDARG00000005220","pdcd6"
"1dpa_vs_0dpa","ENSDARG00000005236","srcap"
"1dpa_vs_0dpa","ENSDARG00000005254","kdelr2a"
"1dpa_vs_0dpa","ENSDARG00000005350","dip2ba"
"1dpa_vs_0dpa","ENSDARG00000005425","wdfy1"
"1dpa_vs_0dpa","ENSDARG00000005454","tacc3"
"1dpa_vs_0dpa","ENSDARG00000005462","kif4"
"1dpa_vs_0dpa","ENSDARG00000005464","dnase1l1"
"1dpa_vs_0dpa","ENSDARG00000005476","nav3"
"1dpa_vs_0dpa","ENSDARG00000005481","nfkbiaa"
"1dpa_vs_0dpa","ENSDARG00000005513","naca"
"1dpa_vs_0dpa","ENSDARG00000005525","acy3.2"
"1dpa_vs_0dpa","ENSDARG00000005547","rint1"
"1dpa_vs_0dpa","ENSDARG00000005619","nek2"
"1dpa_vs_0dpa","ENSDARG00000005645","robo3"
"1dpa_vs_0dpa","ENSDARG00000005673","f3b"
"1dpa_vs_0dpa","ENSDARG00000005754","ptprfb"
"1dpa_vs_0dpa","ENSDARG00000005789","enpp1"
"1dpa_vs_0dpa","ENSDARG00000005791","rpl28"
"1dpa_vs_0dpa","ENSDARG00000005891","cyb5r3"
"1dpa_vs_0dpa","ENSDARG00000005915","tcf3a"
"1dpa_vs_0dpa","ENSDARG00000005943","htra4"
"1dpa_vs_0dpa","ENSDARG00000005993","prc1b"
"1dpa_vs_0dpa","ENSDARG00000006094","igf2r"
"1dpa_vs_0dpa","ENSDARG00000006125","csnk1db"
"1dpa_vs_0dpa","ENSDARG00000006128","cep170aa"
"1dpa_vs_0dpa","ENSDARG00000006192","gatad2ab"
"1dpa_vs_0dpa","ENSDARG00000006200","eif4g1a"
"1dpa_vs_0dpa","ENSDARG00000006207","gpx1b"
"1dpa_vs_0dpa","ENSDARG00000006251","ell2"
"1dpa_vs_0dpa","ENSDARG00000006301","raph1a"
"1dpa_vs_0dpa","ENSDARG00000006353","itga5"
"1dpa_vs_0dpa","ENSDARG00000006477","ddi2"
"1dpa_vs_0dpa","ENSDARG00000006526","fn1b"
"1dpa_vs_0dpa","ENSDARG00000006546","ak4"
"1dpa_vs_0dpa","ENSDARG00000006588","zgc:111983"
"1dpa_vs_0dpa","ENSDARG00000006600","lsm14aa"
"1dpa_vs_0dpa","ENSDARG00000006624","ppp2r2ab"
"1dpa_vs_0dpa","ENSDARG00000006677","ripk1l"
"1dpa_vs_0dpa","ENSDARG00000006691","rpl12"
"1dpa_vs_0dpa","ENSDARG00000006766","snd1"
"1dpa_vs_0dpa","ENSDARG00000006786","copz2"
"1dpa_vs_0dpa","ENSDARG00000006811","sult1st6"
"1dpa_vs_0dpa","ENSDARG00000006837","mycn"
"1dpa_vs_0dpa","ENSDARG00000006901","aebp1b"
"1dpa_vs_0dpa","ENSDARG00000006963","cse1l"
"1dpa_vs_0dpa","ENSDARG00000007034","hnrpkl"
"1dpa_vs_0dpa","ENSDARG00000007098","itm2ba"
"1dpa_vs_0dpa","ENSDARG00000007172","plxna3"
"1dpa_vs_0dpa","ENSDARG00000007219","actn1"
"1dpa_vs_0dpa","ENSDARG00000007241","mycb"
"1dpa_vs_0dpa","ENSDARG00000007275","si:ch211-251b21.1"
"1dpa_vs_0dpa","ENSDARG00000007285","mrpl57"
"1dpa_vs_0dpa","ENSDARG00000007320","rpl7"
"1dpa_vs_0dpa","ENSDARG00000007356","fgf20a"
"1dpa_vs_0dpa","ENSDARG00000007396","rnd3b"
"1dpa_vs_0dpa","ENSDARG00000007409","ppifa"
"1dpa_vs_0dpa","ENSDARG00000007418","chmp4c"
"1dpa_vs_0dpa","ENSDARG00000007425","apol1"
"1dpa_vs_0dpa","ENSDARG00000007461","srgap1a"
"1dpa_vs_0dpa","ENSDARG00000007534","itln1"
"1dpa_vs_0dpa","ENSDARG00000007682","ppdpfa"
"1dpa_vs_0dpa","ENSDARG00000007693","nfkbiab"
"1dpa_vs_0dpa","ENSDARG00000007708","nsa2"
"1dpa_vs_0dpa","ENSDARG00000007709","adamts8a"
"1dpa_vs_0dpa","ENSDARG00000007720","sub1b"
"1dpa_vs_0dpa","ENSDARG00000007743","il15l"
"1dpa_vs_0dpa","ENSDARG00000007753","cpne2"
"1dpa_vs_0dpa","ENSDARG00000007769","sult5a1"
"1dpa_vs_0dpa","ENSDARG00000007783","blk"
"1dpa_vs_0dpa","ENSDARG00000007791","ppp2r1ba"
"1dpa_vs_0dpa","ENSDARG00000007795","cst3"
"1dpa_vs_0dpa","ENSDARG00000007836","ctsla"
"1dpa_vs_0dpa","ENSDARG00000007950","itga11b"
"1dpa_vs_0dpa","ENSDARG00000007975","fth1b"
"1dpa_vs_0dpa","ENSDARG00000007976","si:ch211-220f16.2"
"1dpa_vs_0dpa","ENSDARG00000008020","med31"
"1dpa_vs_0dpa","ENSDARG00000008022","kif18a"
"1dpa_vs_0dpa","ENSDARG00000008034","skib"
"1dpa_vs_0dpa","ENSDARG00000008060","scara3"
"1dpa_vs_0dpa","ENSDARG00000008247","vezf1a"
"1dpa_vs_0dpa","ENSDARG00000008275",NA
"1dpa_vs_0dpa","ENSDARG00000008363","mcl1b"
"1dpa_vs_0dpa","ENSDARG00000008398","cacna1c"
"1dpa_vs_0dpa","ENSDARG00000008491","si:ch211-107o10.3"
"1dpa_vs_0dpa","ENSDARG00000008575","lyst"
"1dpa_vs_0dpa","ENSDARG00000008593","nbas"
"1dpa_vs_0dpa","ENSDARG00000008697","epas1a"
"1dpa_vs_0dpa","ENSDARG00000008805","orc3"
"1dpa_vs_0dpa","ENSDARG00000008816","glud1a"
"1dpa_vs_0dpa","ENSDARG00000008920","mrpl53"
"1dpa_vs_0dpa","ENSDARG00000009040","si:ch73-141c7.1"
"1dpa_vs_0dpa","ENSDARG00000009087","cd74a"
"1dpa_vs_0dpa","ENSDARG00000009094","gata2b"
"1dpa_vs_0dpa","ENSDARG00000009123","sele"
"1dpa_vs_0dpa","ENSDARG00000009196","anxa3a"
"1dpa_vs_0dpa","ENSDARG00000009208","prkcda"
"1dpa_vs_0dpa","ENSDARG00000009215","cldn29"
"1dpa_vs_0dpa","ENSDARG00000009262","si:dkey-97m3.1"
"1dpa_vs_0dpa","ENSDARG00000009387","robo4"
"1dpa_vs_0dpa","ENSDARG00000009390","npl"
"1dpa_vs_0dpa","ENSDARG00000009401","vcanb"
"1dpa_vs_0dpa","ENSDARG00000009402","si:ch211-210b2.2"
"1dpa_vs_0dpa","ENSDARG00000009511","tnfa"
"1dpa_vs_0dpa","ENSDARG00000009544","cldnb"
"1dpa_vs_0dpa","ENSDARG00000009549","ubr4"
"1dpa_vs_0dpa","ENSDARG00000009689","daam1b"
"1dpa_vs_0dpa","ENSDARG00000009724","rpn2"
"1dpa_vs_0dpa","ENSDARG00000009753","sf3b6"
"1dpa_vs_0dpa","ENSDARG00000009779","mcl1a"
"1dpa_vs_0dpa","ENSDARG00000009806","smfn"
"1dpa_vs_0dpa","ENSDARG00000009881","ier5"
"1dpa_vs_0dpa","ENSDARG00000009939","micu2"
"1dpa_vs_0dpa","ENSDARG00000009950","edf1"
"1dpa_vs_0dpa","ENSDARG00000009958","cbl"
"1dpa_vs_0dpa","ENSDARG00000009978","icn"
"1dpa_vs_0dpa","ENSDARG00000010047","neu3.2"
"1dpa_vs_0dpa","ENSDARG00000010070","adam9a"
"1dpa_vs_0dpa","ENSDARG00000010113","ndufb8"
"1dpa_vs_0dpa","ENSDARG00000010146","cpa2"
"1dpa_vs_0dpa","ENSDARG00000010154","vstm4a"
"1dpa_vs_0dpa","ENSDARG00000010160","rps15a"
"1dpa_vs_0dpa","ENSDARG00000010181","asap2a"
"1dpa_vs_0dpa","ENSDARG00000010183","LOC100535104"
